                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.54857,                0.53864,                 1.0249,                0.98648,                0.98378,                 0.9927,                 0.9151,                0.43378,                0.40113,                0.93019,              0.0007971,              0.0007971,              0.0007971
                    136,                0.62436,                0.59904,                 1.0336,                0.97123,                 0.9771,                0.99222,                0.91641,                0.42372,                0.40518,                 0.9257,             0.00079238,             0.00079238,             0.00079238
                    137,                0.58372,                0.53773,                 1.0107,                0.95878,                0.98101,                0.99266,                0.92252,                0.41768,                 0.4025,                0.92323,             0.00078766,             0.00078766,             0.00078766
                    138,                0.52002,                0.52011,                 1.0083,                0.97991,                0.98657,                0.99363,                0.92375,                0.41423,                0.40142,                0.92231,             0.00078295,             0.00078295,             0.00078295
                    139,                0.59737,                0.53762,                  1.096,                0.98064,                0.98281,                0.99338,                0.92505,                0.42107,                0.40663,                0.91905,             0.00077823,             0.00077823,             0.00077823
                    140,                0.54399,                0.52226,                 1.0011,                0.98069,                 0.9814,                0.99338,                0.92746,                0.40226,                0.40177,                0.90819,             0.00077352,             0.00077352,             0.00077352
                    141,                0.56018,                0.56768,                 1.0277,                 0.9895,                0.98566,                0.99302,                  0.935,                0.39688,                0.38907,                0.90588,              0.0007688,              0.0007688,              0.0007688
                    142,                0.53889,                0.50725,                 1.0026,                0.97679,                0.98566,                0.99222,                0.92771,                0.40443,                0.38994,                0.90999,             0.00076409,             0.00076409,             0.00076409
                    143,                0.60008,                0.55522,                 1.0331,                0.97964,                0.97791,                0.99259,                0.92683,                0.40464,                0.38953,                0.91345,             0.00075937,             0.00075937,             0.00075937
                    144,                0.59367,                0.55765,                 1.0599,                0.97298,                0.97334,                0.99237,                0.92397,                0.40948,                0.39728,                0.91507,             0.00075465,             0.00075465,             0.00075465
                    145,                0.58149,                0.52988,                0.98381,                0.96561,                 0.9737,                0.99231,                0.92287,                0.40394,                0.40208,                 0.9134,             0.00074994,             0.00074994,             0.00074994
                    146,                0.53323,                0.50884,                 1.0355,                0.96908,                0.97058,                0.99199,                0.93144,                0.39398,                0.40367,                 0.9087,             0.00074522,             0.00074522,             0.00074522
                    147,                0.58475,                0.56649,                 1.0585,                0.97285,                0.97775,                0.99266,                0.92544,                0.40136,                0.39423,                0.91016,             0.00074051,             0.00074051,             0.00074051
                    148,                0.57011,                0.54636,                 1.0148,                0.97013,                0.97142,                0.99156,                0.92554,                0.38828,                0.38551,                0.90183,             0.00073579,             0.00073579,             0.00073579
                    149,                0.57522,                 0.5738,                 1.0091,                0.96825,                0.97849,                0.99214,                   0.92,                0.39424,                0.37953,                0.90139,             0.00073108,             0.00073108,             0.00073108
                    150,                0.60811,                0.58091,                 1.0371,                0.97977,                0.98208,                0.99246,                0.92401,                0.39776,                0.37399,                0.90031,             0.00072636,             0.00072636,             0.00072636
                    151,                0.50737,                0.49502,                0.97414,                0.98475,                0.97491,                0.99239,                0.92127,                0.39981,                0.37269,                 0.8992,             0.00072164,             0.00072164,             0.00072164
                    152,                0.54094,                0.53889,                  1.028,                0.98487,                0.97669,                0.99244,                0.92421,                0.40195,                0.37682,                0.90222,             0.00071693,             0.00071693,             0.00071693
